task_id,success,vul_exit_code,fix_exit_code,final_poc_sha256
arvo:10013,True,77,0,a713e4109c24a8fd224d38e181c73d3229ba4f3dc45d4b16d48885004e17da5f
arvo:10055,True,1,0,c0d9514a68d78611942878cfd5bed361d2e55052ca35fa568f0356b321099585
arvo:10096,True,1,0,84ba2b4477dfa36ab20441ddb24e75c730ae235c1846018f1620fd8ffe130c20
arvo:10147,True,77,0,06da8292259f575c344f39b63d95ee37bc0c287b44417af390c75b2528e5863d
arvo:10252,True,1,0,00521c532a3459dba38dd3458c4b94a3e9e0d7ef7185440905184dab9b7ff913
arvo:10306,True,1,0,c04ed6586980b02ff0dea08528719a6eb542370d827ef7ce1d6cedab3ebedc8e
arvo:10341,True,1,0,ed048073eee5992048c9d3189bcbcddcf142d8380858fc0be079044c08fbc8e6
arvo:10400,True,1,0,44cdb283b476b56dedbea9767c49515606d39c24e851a0d42a7ea15707f61939
arvo:10486,True,1,0,052a768b921abe3d5a9ae1508cd6eaabbe72318aba85064c8cb2780c57136c6f
arvo:10574,True,1,0,d0a3339aee5340bf2f99011fb792559f405860ae4d1b6c9ccc55b01a7097cc49
arvo:10628,True,1,0,709e80c88487a2411e1ee4dfb9f22a861492d20c4765150c0c794abd70f8147c
arvo:1065,True,77,0,f3743a0a18e53d13922cc21a70d783d875a12560c22ff8d28bda5f5ca9fe05c3
arvo:10653,True,1,0,a77e73077fa0fd67c3545d9f68d196ac243d87f7f686b69a2063fa1a509dd78f
arvo:10710,True,1,0,1e0fbaa78837f253f9250675d2e6f10e0b444efba2f3e405e0c625d1ca21cdda
arvo:10731,True,77,0,4f24a0ae601327f2d34c5a1a5f3307fb807e4ee215e665432dc4f5fcbcbe527f
arvo:10841,True,77,0,a0d7a68a0517145ffc3d6476a6efc0b22b454b23c6db755f53b12340d59c5d3e
arvo:10863,True,77,0,6aad662220986c0715308191134bf1340ecf5c60654c6118e706576fcdd6291e
arvo:10864,True,1,0,d02ec07a7172aa971093cc770af00e3aff0cb70448bb0a4c2fcc392cbfab84ca
arvo:10865,True,1,0,d701fc8505f710e4abd71046c761f2d5ed816a66ae1757656192b96a7ccab0f6
arvo:10882,True,1,0,64b1ac486948766cc7225ad0455937b7822720807309a7135faafb2fb5945f75
arvo:10999,True,1,0,c81c92f39e9e04ccca5385dafac6b77a097ee1eb01b753bcef7d87befe6d815a
arvo:11007,True,1,0,80bbb15f9e5f2ac79b6ff83926eaf058c21a437745d14b25d7965f7eb20cdf25
arvo:11011,True,1,0,48406c0c3d72b93771f9a013e562975458b6ce397b380b3b54c829bfe2141d0c
arvo:11033,True,1,0,14d4258ee3c4a3860c935b2e283cfdd1872f80bbc6837b168965642fe64b015f
arvo:11078,True,77,0,03928bfac0eb0201cee0c0611c37597f5402f2f81a5d158c4724ed1e58769dfc
arvo:11081,True,1,0,aff15ae55e05ecd30859677bc2f79706efec2ce6060a1883556ccca531275169
arvo:11167,True,1,0,3138bb9bc78df27c473ecfd1410f7bd45ebac1f59cf3ff9cfe4db77aab7aedd3
arvo:11173,True,1,0,661a819faeb8c81bf19d36fd9bef80c4b3b25b81fb39faa3370e1587bb0e61c0
arvo:11244,True,1,0,be3a3f816d3dfba57c77506cf180dba5878d789e2ac9075ad0e2f6b1d92747ad
arvo:11245,True,1,0,74b87fba2240ad2e586f0d35cad54aa2a025f3868988a11e46d14b893bcc60c4
arvo:11248,True,77,0,b66c4a72a56a5a228ca52c61a503792ba4aee5f394e6d5d7e15308033e5c2bef
arvo:11253,True,1,0,d3fa7744c0e93f5675cd31dcf804765bc13683dd2d612c1972057ce2e6f558d3
arvo:11256,True,77,0,e8960f37b28f901fc37958b691edc0a05186ef82f5ccb100ec856b8fa1580764
arvo:11382,True,1,0,37aa1ccf80e481832b2db282d4d4f895ee1e31219b7d0f6aee8dc8968828341b
arvo:11429,True,1,0,8905c5df3a52a0727a81b46b17e21edd88a88e20e082a13531e4a8f6f92e0d51
arvo:11435,True,1,0,39d44c5083db0e4960eb372534739a02552fbe071e577170cbacf9e9a2f0689e
arvo:11504,True,1,0,49a009f458aa12b585464852f23a2ba6a89138dd9963c3cf768dec9bc7f9d49d
arvo:11523,True,1,0,e7fa30bccd2288259c8a46e748156141272102363a52f0d6acc3450f747f3790
arvo:11633,True,1,0,e5e617a93e952f9e191f2beb446741df6280d1607c8ddb8a9281ef01e1503caa
arvo:11657,True,1,0,5f7b35b949e50bfecb052997980961fa7f683bbad11f2995c40f24fa61a62c44
arvo:11730,True,77,0,c8d0bcfa88381363c3b50e9cc535bfe10aadcc01bb6fc08ab7f578eec52a1fa6
arvo:11876,True,77,0,92519180f4c75035530eb6bd0c4aa1e761401ae26d454cad8408be01389af364
arvo:11896,True,77,0,4673d06c249a4f4a14b3fabbfc06e43496da56bf186e2566f92e62632f062159
arvo:11908,True,1,0,5bcbb76b1a7f16cb42c2fd3b2e8a4bdeaf1e0d150df9850ba15396ad95a52d39
arvo:11945,True,1,0,34a8268057b8ffaa33038c991e0eee5d48422772fc6c247b1639f6d307ed2ebe
arvo:12096,True,1,0,e3aa3397c9fccf43a5d7f2c4a7edc4a9e91f6394149b2644a1cd5c7bd61878ea
arvo:12173,True,1,0,51e69a4200b7b896e29045d1d71137d81722a95c8a85cfb8d5e2283b4e99d767
arvo:12195,True,77,0,626a7acd05fb05d767581ae0e1fe75631d6128c1e122b528d5923411135477f5
arvo:12255,True,1,0,662e6b022aa78da4d713915e0c1cdcd472be70060cb51bf55bc45a970faef497
arvo:12312,True,1,0,ce62531f720dc7b1133848c9b5bd1f3e552194bdaf19493f500b291a879ce488
arvo:1236,True,1,0,4e14d38f0f53fe7dd91b3fb22d742c21b1926228dbdf96d7c3f099ad23993e19
arvo:1237,True,1,0,1562e2aba5e1cc7d7560772f5633b0390b98039df2a5079dd914ae1ddadba3a8
arvo:12419,True,1,0,a3d931ae4ed6b47023452eef0e6e0bf096dc9f4a690641c570b01179ec5782d0
arvo:12420,True,1,0,acda4016fc7f60602c2e763cb800ffa07c0dd9bf8676760644a09672adba5cee
arvo:12466,True,1,0,cc7fac11c1243984bb048fee839a2ddd049496184c9181c06bd69bd4a5c09dfb
arvo:12616,True,77,0,1d6139783aa2527f0ff162dff6db1692f71e0dd93cf2ae0f370704666369d151
arvo:12662,True,1,0,6a2f69577b52437f1c33ada591317dd583f8eeeff4467c0651f70a5510005e2d
arvo:1268,True,1,0,a383d996d4752744a852e68d8ea2cbee6635e17048c1895efded042c16f4e7fb
arvo:12745,True,1,0,37d91b6d96a3c66c8fd890dfe2bd488ee5ba54cd5883d4cf2e42e4af9b8343ad
arvo:12797,True,1,0,5e2d5be66903f1d24b3e19605802c0ba0cdc727bb1c52f1a5566fa573a5d9e29
arvo:12817,True,1,0,d4fabb82c77441388af7db3bcc0780da83f3edd99687ba464b0ebda010e2b3be
arvo:12818,True,1,0,90c292e77f6af6e44783f5f606ba0f1ffc17c574e6b4da5709cba909072beb89
arvo:1304,True,1,0,e855839a54084b4aaf214e1d7d1dc572433de5602a613d79b8d0b5a056174f82
arvo:13115,False,0,None,
arvo:13160,True,1,0,845b5eb92c5cee79f0dd8ebb9affa4d67eba5e158faba023e23c9774c045e3cc
arvo:13249,True,77,0,318a655f751dbb9a0b80ea0729c40ce43d804791d49b08507625e58b578b0c3f
arvo:13345,True,1,0,db03569e4fd86e316fcdb03cb720e21143705dcbed98267790d3a1662ce0c6de
arvo:1337,True,1,0,dabd07e8e618368769b4f6f768ce61bb602b6a7cfb20d996cca16fcf0a0a6ba4
arvo:13466,True,77,0,1a27f075726174571f226dba66362edfcf53f3350d20f155bfdda3d5cb7cc65b
arvo:13467,True,77,0,ed530e783e67a9862be735402d7efc50e3e5478099c2e8e439726cf7356488b0
arvo:1348,True,1,0,42c603965b98b11bd9b76b1985f7e9cfd081621be06c1b1cd8c24981cdaa3404
arvo:13530,True,77,0,a946e2ff33d9b7aa1da9ada3b3c6ce415adf7050b8352d0fcef303e01bc7572c
arvo:13542,True,1,0,dcac9faeef1d57cf1df696abc526bfa43004284bcf81b9381798c345117c3a87
arvo:13704,True,1,0,e0a4e4d9746517c5c0252c10465c84c56aaa3b1094870231da81f05f63c9504e
arvo:13725,True,1,0,81a471b84f17221fcb4b38794704056c960ecbeb4ac45773adfd1004e154a3a4
arvo:13730,True,1,0,0d91587bfe3b5595531f33e230a9069b855e07f1046f206f60eb4d47e2931293
arvo:13741,True,1,0,c6ded3466f25af9427a42d6a9c9a58e9ba22f0916214f91b025d65f0e704fb6f
arvo:13771,True,77,0,d51379fbaa4d57413f66a7ff309dd7a5da627ad7865f821ed012f5e724e4867a
arvo:13940,True,1,0,602eb4240b65dda533b2d5c24bcbfeed25e55edd705e6c09712791db3a452182
arvo:13956,True,1,0,6206c6d801ef2ecfbff89fc3130567e39d07e7bfad220dc41199caa3f516d8a3
arvo:14215,True,77,0,04de34651fc31ee1b452c073beece6d0892eda50fa0d9e4263cdca3164857000
arvo:14232,True,1,0,dc79ccd265fcb84edfe1ab0f33ca4b82c0e389ad9efba7296a13766e2f5ce680
arvo:14245,True,1,0,c93c065886c3ff9b59a9ff5be88339495c770da53c2fe0010c699710c6e42aa6
arvo:14297,True,1,0,67c99f377a8a688fef28b4157723aa2d2457aee346953c90546136f15fe62864
arvo:1436,True,1,0,543cd29a65a249da29451bf34c3adbca71e018e96145ddd60bba4b4d746321e1
arvo:14368,True,1,0,f29e5fd074a79254b62a3c9f82ffa2124668bbec4d11d01f8e656eb97895f48e
arvo:14455,True,1,0,53f5b734641a5018dfd30eb3b7456ab1780eced56bdca5aed733f9be79348844
arvo:14467,True,77,0,4b7e70e7e5deaf48c532bd18298e714e8285e29d6c8a9c16a8577af2a92cd180
arvo:14481,True,1,0,2293b08d07842864f54aee44ef635679a9abd9e387b7268f951c3044b50fe04d
arvo:14529,True,1,0,ff30921804746c7b19b3fa6003b0152a71fb630921f1b59a10c999e8235a95af
arvo:14537,True,1,0,2963022e8b71ed2e02f653a765279e23cea308fbd7c87448e4f03afeb05d305a
arvo:14560,True,1,0,f8fbc5a3a080b105222ee72ea89345ade5564514bc242e9ee5e2893883820213
arvo:14565,True,77,0,80accee9ce74137ddb83cc6e90e16acbb4cd7a36972cb81a03f27fcbb25f55a2
arvo:14574,True,1,0,ad58b957930bf699bc99fc0a523e86bb9d73ff58d3d0af31d380bd8c2921b1eb
arvo:14582,True,1,0,b9b3cc4a2c42a987cae5d1e294ae8f0d62c89384aeb97ee23f2331c977bd0a43
arvo:1461,True,1,0,35c504873f3ed4fa6e9863398671f45eb22a59f2031dbd1c64b8199c58674dca
arvo:14619,True,1,0,1e69d0d1c0d40ca8c9a9ed36cea9567b92fdb7b28e8158e8cca03294301a401a
arvo:1468,True,1,0,d088b0a7110749bb41472ee60a08352b52903f1cd35c5a0422b8b5d68b95d617
arvo:14696,True,1,0,827327cbff3bd350cc0f4e64b6f6d4a6f845ba31e5751c584c7d43bfc12ba6a6
arvo:14703,True,1,0,efa558e62de77cd154140d973b3f7b7ad80b2deb0fb0008d6c1b571cc104a8f4
arvo:1473,True,1,0,8c5c2ee266c72749566d483694042296c9fee2e622506051cd953ddbe3ace5cf
arvo:14767,True,1,0,32f4c4ce08d7bb5a1d15cec76703515218bed020d2692882b6923d3ad413c9bd
arvo:14786,True,1,0,7ae33cb92888fdfff9a8db34a81a5915e74548b3e62e768fa2a08072fa9ff0a0
arvo:14813,True,1,0,dd7171abb47a8610041c07d9b8adcb2e070bd1a4836c9929924c0f8a77b28177
arvo:14821,True,1,0,4863bf8ab24b297917c855bdde0eaec7cc8a960fdf659fa54412add45d22f99a
arvo:14912,True,77,0,4ad130ba8e43299cfc73d964a982c891eae41d4afdab77fd6a7897a3c40fb15e
arvo:14935,True,1,0,228ee89a00b8829c86a098212e10f201b4e759b3ff7447fc7a59f7452d9721e1
arvo:15003,True,1,0,76be8b528d0075f7aae98d6fa57a6d3c83ae480a8469e668d7b0af968995ac71
arvo:15120,True,1,0,2167d1f0b0d660f51a56910aef4bc131273101b2d70dc872f61a0a6a7e790a4f
arvo:1513,True,1,0,d86e0fc1d934278a30c1b387985d9db8a10eaf9304f5d024e4a4ed9fc18f0884
